generation,chromosome,patient_waiting_time,total_time_in_system,resource_utilization_balance,staff_workload_equity
1,15>21>11>13>1>6>5>16>8>15>1>19>22>1>2>2>22>4>13>11>20>16>9>24,25.910903799411983,26.846840317491207,0.75,0.001304751070115855
1,12>11>5>7>12>22>14>2>16>6>21>18>14>15>8>8>22>17>13>9>2>9>3>6,26.055446815680614,26.816526612891433,0.5833333333333334,0.0008532245387772444
1,22>10>9>4>8>21>8>16>20>4>17>21>11>1>22>21>12>12>7>19>12>4>17>24,25.48516399833164,27.01100305076254,1.0,0.003584615569754671
2,16>10>15>1>5>23>12>22>22>15>24>8>2>3>5>3>9>11>19>13>5>17>7>1,26.326280630849812,27.327223818022148,0.5833333333333334,0.0014455723840223476
2,4>20>22>4>20>15>10>16>16>18>15>9>8>4>17>2>6>1>3>13>17>14>3>9,25.669532487670068,27.291933641572673,0.75,0.003994666936136856
2,6>1>17>2>3>7>1>9>16>16>17>20>9>22>11>9>23>7>1>7>12>13>13>22,25.83570614026456,26.52950119589288,1.0833333333333333,0.0007211435585498084
2,6>13>9>21>5>2>9>16>18>12>22>6>2>4>2>11>14>7>11>12>18>16>6>7,25.92252565151682,26.913800431998723,1.0,0.0014622899277649181
2,12>16>9>8>17>16>5>9>21>3>22>4>12>13>1>21>11>24>5>21>23>16>4>14,25.79033016979783,27.080896858545035,0.8333333333333334,0.002504073650212728
2,8>23>11>6>3>17>21>1>17>24>6>4>18>18>2>21>15>21>20>18>13>9>13>1,25.834488031734764,26.9203222851142,0.8333333333333334,0.0017665557852383645
2,17>5>12>1>8>5>10>19>4>21>22>5>15>12>6>17>4>20>22>18>16>16>24>2,25.861644121720655,27.407613388313717,0.6666666666666666,0.003573464316348487
2,1>15>9>7>1>15>7>3>3>9>23>5>18>20>9>21>19>11>1>1>23>18>22>24,26.316464619751468,26.823224169723325,1.1666666666666667,0.0003708077418824204
2,1>22>11>20>1>7>12>19>15>7>12>20>10>13>13>14>16>7>19>22>23>16>11>17,26.104766719885387,26.917639440570095,0.9166666666666666,0.0009696287080964896
2,8>22>17>6>20>17>21>24>22>15>17>4>12>20>12>21>4>7>10>11>4>7>22>10,25.49337239516039,27.191084059834807,1.1666666666666667,0.004434792304412883
2,1>1>11>4>17>19>7>14>6>7>23>9>23>7>9>16>12>24>2>21>21>16>6>10,25.93074790571013,27.048047710397697,0.75,0.0018565615830008957
2,6>22>12>23>16>13>12>11>22>6>24>18>22>15>21>11>19>3>6>11>10>14>21>2,26.163569967457864,26.941816451393972,0.9166666666666666,0.000884790253193297
2,8>7>22>1>3>6>5>3>15>7>17>20>14>20>9>6>9>24>13>7>12>19>17>10,26.21989695846114,27.19930901772856,0.6666666666666666,0.0013953043008069401
2,20>18>16>4>3>23>9>8>14>3>22>4>21>15>8>2>20>4>1>15>11>14>5>22,25.78513765466759,27.24557203108836,0.75,0.003207932234746458
2,19>23>9>12>8>1>12>3>9>12>8>3>9>24>15>14>3>11>2>12>19>14>5>1,26.297738164910243,26.858255374181645,1.3333333333333333,0.0004542982962846128
2,22>23>17>21>19>11>12>1>17>24>6>18>23>8>12>23>23>2>6>13>5>10>2>2,25.889889845188623,26.929278148679774,1.0,0.0016117409684603724
2,9>18>16>20>13>7>1>3>8>6>1>4>15>18>22>21>16>3>11>2>12>14>11>4,25.907862558355788,27.12076657200706,0.5,0.0021917433496031276
2,9>7>16>10>11>4>4>2>22>9>1>20>2>13>17>21>19>7>22>1>23>20>22>2,25.585681763810907,26.918037545606516,0.9166666666666666,0.0027117299275439995
2,7>8>13>11>17>11>7>21>8>24>8>11>12>22>6>21>15>11>11>1>13>9>6>13,26.022052055731848,26.551216405221062,1.5833333333333333,0.0004135214788813984
2,18>7>9>1>14>3>7>3>22>6>16>4>2>7>2>4>14>11>2>11>17>9>9>1,25.733940486332145,27.006955803769674,1.1666666666666667,0.0024471166618574066
3,8>1>6>19>3>2>4>1>22>24>1>18>21>24>8>9>12>20>19>13>10>17>22>9,25.986307222620137,27.154670277624803,0.6666666666666666,0.002021466246338605
3,6>22>9>4>13>11>7>3>15>4>21>4>21>22>6>3>22>10>16>1>10>14>23>2,25.799880161952203,27.44658309152513,0.8333333333333334,0.004073757179040475
3,1>7>1>11>14>17>7>1>15>2>23>2>12>23>14>14>18>2>17>18>23>13>12>17,25.769299057187954,26.657324743441038,1.5,0.001187533431447608
3,12>8>5>1>13>6>1>1>22>4>4>7>8>24>22>9>12>9>1>7>5>4>17>1,25.610696918008212,27.0596657521326,1.5833333333333333,0.003200923503119644
3,7>3>21>11>1>7>16>16>22>12>15>7>7>18>14>4>20>9>1>11>21>22>15>24,26.013842700327313,26.893574878164294,1.0,0.001143646841966832
3,13>9>2>20>19>17>5>20>16>13>18>20>23>18>9>9>19>11>2>2>22>21>24>9,25.98897694481641,26.74420627300281,1.25,0.0008444604723204264
3,17>22>6>1>23>1>10>13>16>7>19>4>22>7>17>19>5>7>21>1>5>13>24>14,25.969751815242102,27.250418531820806,0.9166666666666666,0.002431849235351858
3,17>1>18>21>3>13>3>13>2>24>8>16>6>7>11>14>23>1>1>11>12>21>24>22,26.04111438443528,26.69956812775322,0.6666666666666666,0.0006393393152622232
3,4>14>17>5>16>7>7>19>4>24>12>2>8>7>11>3>16>20>10>2>12>18>17>1,25.829337634458355,27.321339496624425,0.6666666666666666,0.0033366618184302674
3,17>9>15>7>1>24>9>11>15>12>12>22>17>19>11>9>2>7>5>15>21>9>12>15,25.947794770055467,26.71309964192936,1.5,0.0008698974293186503
4,8>17>5>15>19>20>1>24>21>6>6>4>23>7>9>17>20>11>16>7>21>9>3>24,25.907714654027995,26.9780704255693,0.5833333333333334,0.001706860783030232
4,8>22>16>14>22>20>18>2>4>15>12>15>21>7>7>12>9>11>16>14>17>14>21>4,25.699348307581023,26.91941006084628,0.8333333333333334,0.0022538209161760015
4,12>22>5>15>22>7>15>22>22>10>17>23>12>4>2>18>11>6>8>19>11>22>21>24,25.892498663120296,27.106045174540732,1.0833333333333333,0.002196670547976804
